factor_category,rq1_count,representative_rank,candidate_id,project,repo,source_type,number,title,url,evidence_role,primary_deviation_symptom,primary_affected_phase,symptom_evidence_quote,factor_evidence_quote,phase_evidence_quote
unknown_or_not_specified,153,1,github_pr::Farama-Foundation/Metaworld::91,MetaWorld,Farama-Foundation/Metaworld,pr,91,Scripted policies for reach-push-pick-place environment,https://github.com/Farama-Foundation/Metaworld/pull/91,deviation_and_factor,success_rate_drop_or_mismatch,benchmark_or_eval_setup,"Note that these tests will fail on master, as the env is not solvable without changes from #95","Since `random_init=True`, a test may fail occasionally",tests will fail on master
unknown_or_not_specified,153,2,github_issue::Farama-Foundation/Metaworld::405,MetaWorld,Farama-Foundation/Metaworld,issue,405,A recent commit introduced a bug in Metaworld v2 - env.step() doesn't return done when curr_path_length == max_path_length,https://github.com/Farama-Foundation/Metaworld/issues/405,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,ValueError: Maximum path length allowed by the benchmark has been exceeded,Maximum path length issue was introduced with PR #401,"self.do_simulation([action[-1], -action[-1]])"
unknown_or_not_specified,153,3,github_issue::facebookresearch/habitat-lab::87,Habitat-Lab,facebookresearch/habitat-lab,issue,87,[ORBSLAM2 Agent bug] estimatedGoalPos outside map bounds,https://github.com/facebookresearch/habitat-lab/issues/87,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,IndexError: index 418 is out of bounds for dimension 3 with size 400,This is because map size for planner is limited,when evaluating episode 20
dependency_runtime_environment,48,1,github_issue::simpler-env/SimplerEnv::6,SimplerEnv,simpler-env/SimplerEnv,issue,6,`Segmentation fault (core dumped)` error when calling `env.step()` inside a docker,https://github.com/simpler-env/SimplerEnv/issues/6,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,Segmentation fault (core dumped) error shows up when calling env.step(),I think I got the problem. Numpy recently released 2.0.0! ... so you just install a 1.26.4 numpy and the example.py works just fine.,calling env.step()
dependency_runtime_environment,48,2,github_issue::huggingface/lerobot::2697,LeRobot,huggingface/lerobot,issue,2697,"Run pi0.5 on Libero, incorrect version of transformers",https://github.com/huggingface/lerobot/issues/2697,deviation_and_factor,evaluation_crash_or_failure,runtime_or_dependency_setup,ValueError: An incorrect transformer version is used,An incorrect transformer version is used,Making policy.
dependency_runtime_environment,48,3,github_issue::moojink/openvla-oft::12,OpenVLA-OFT,moojink/openvla-oft,issue,12,Unable to achieve the reported performance on Libero,https://github.com/moojink/openvla-oft/issues/12,deviation_and_factor,success_rate_drop_or_mismatch,rollout_execution,I did not achieve the expected performance (97.6 reported in the paper); the results are as follows:,"Therefore, you will need SDPA at test time to reproduce our results.",you will need SDPA at test time to reproduce our results.
simulator_physics_rendering,43,1,github_issue::mani-skill/ManiSkill::571,ManiSkill,mani-skill/ManiSkill,issue,571,[Question] Self-Collision Joints Issue - How to re-model/edit robot mesh structure,https://github.com/mani-skill/ManiSkill/issues/571,deviation_and_factor,rollout_behavior_anomaly,rollout_execution,the joints/hands of my robot are infinitely spinning,I ended up narrowing down the wrist base / palm of the hands being the cause of the bug.,the hand rotates by itself while sending a 0 action
simulator_physics_rendering,43,2,github_issue::simpler-env/SimplerEnv::47,SimplerEnv,simpler-env/SimplerEnv,issue,47,In multiple GPUs: RuntimeError: vk::PhysicalDevice::createDeviceUnique: ErrorInitializationFailed #20,https://github.com/simpler-env/SimplerEnv/issues/47,deviation_and_factor,evaluation_crash_or_failure,benchmark_or_eval_setup,"The simulator works well when using the default CUDA device 0, but it failed in any other devices",it has better support and less bugs related to rendering/gpus,when starting the environment in a non-zero device
simulator_physics_rendering,43,3,github_issue::mani-skill/ManiSkill::1070,ManiSkill,mani-skill/ManiSkill,issue,1070,insane memory consumption jump during evaluation when using contact force API,https://github.com/mani-skill/ManiSkill/issues/1070,deviation_and_factor,evaluation_crash_or_failure,benchmark_or_eval_setup,I am observing ridiculous memory usage during evaluation which causes sim to stop.,"It turns out the net contact forces API has a bug when there is no contacts, a cuda kernel is launched incorrectly, eventually leading to some strange behavior like invalid memo...",Evaluating
evaluation_script_harness,36,1,github_issue::Lifelong-Robot-Learning/LIBERO::3,LIBERO,Lifelong-Robot-Learning/LIBERO,issue,3,Question regarding SubprocVectorEnv failure,https://github.com/Lifelong-Robot-Learning/LIBERO/issues/3,deviation_and_factor,evaluation_crash_or_failure,environment_reset,EGLError: err = EGL_BAD_ALLOC,"I resolve the problem by adding these two lines to venv.py. if multiprocessing.get_start_method(allow_none=True) != ""spawn"": multiprocessing.set_start_method(""spawn"", force=True)",env.reset()
evaluation_script_harness,36,2,github_issue::mees/calvin::43,CALVIN,mees/calvin,issue,43,ModuleNotFoundError: No module named 'calvin_agent.datasets.play_data_module',https://github.com/mees/calvin/issues/43,deviation_and_factor,evaluation_crash_or_failure,benchmark_or_eval_setup,ImportError: Encountered error: `No module named 'calvin_agent.datasets.play_data_module'` when loading module 'calvin_agent.datasets.play_data_module.PlayDataModule',The config has been updated and soon work now.,python calvin_agent/evaluation/evaluate_policy.py
evaluation_script_harness,36,3,github_issue::huggingface/lerobot::2850,LeRobot,huggingface/lerobot,issue,2850,Bug: `--eval.batch_size` unintentionally limits LIBERO environment diversity in `lerobot-eval`,https://github.com/huggingface/lerobot/issues/2850,deviation_and_factor,success_rate_drop_or_mismatch,environment_reset,Now I get 91% which is more aligned with results reported by PI,the number of unique environment initial states is effectively capped at n,Only n initial states are ever evaluated
