candidate_id,project,repo,source_type,number,state,title,url,evidence_role,primary_deviation_symptom,primary_factor_category,primary_affected_phase,deviation_symptoms,factor_categories,affected_phases,symptom_evidence_quote,factor_evidence_quote,phase_evidence_quote,created_at,updated_at,closed_at,comment_count
github_issue::huggingface/lerobot::3814,LeRobot,huggingface/lerobot,issue,3814,open,AttributeError: 'OffScreenRenderEnv' object has no attribute 'env',https://github.com/huggingface/lerobot/issues/3814,deviation_and_factor,evaluation_crash_or_failure,reset_or_initial_state,environment_reset,evaluation_crash_or_failure,reset_or_initial_state,environment_reset,the training process crashes at evaluation steps ... with the following error: AttributeError: 'OffScreenRenderEnv' object has no attribute 'env',"the eval env is created once and reused across evals. After the first eval, eval_policy_all closes each env in a finally block, which triggers libero's ControlEnv.close() (del self.env). But LiberoEnv.close() never resets self._env = None, so on the next eval _ensure_env() skips recreation and reset() calls seed() on the gutted env","observation, info = env.reset(seed=seeds)",2026-06-16T01:54:28Z,2026-06-19T06:53:29Z,,3
github_issue::huggingface/lerobot::3633,LeRobot,huggingface/lerobot,issue,3633,open,Available Hugging Face GR00T checkpoints failed to reproduce LIBERO benchmark results,https://github.com/huggingface/lerobot/issues/3633,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,the resulting rollouts look incorrect: the robot mostly moves in place / jitters and does not make meaningful progress toward the LIBERO task.,,rollout does not complete the task,2026-05-20T08:32:47Z,2026-06-17T13:41:29Z,,6
github_issue::huggingface/lerobot::2533,LeRobot,huggingface/lerobot,issue,2533,open,"pi0.5 on LIBERO simulation reproduce, zero success rate on pi05_libero_base",https://github.com/huggingface/lerobot/issues/2533,deviation_and_factor,success_rate_drop_or_mismatch,observation_sensor_preprocessing,observation_processing,success_rate_drop_or_mismatch,observation_sensor_preprocessing,observation_processing,"pi05_libero_base is a pytorch conversion of original openai's pi05_libero, which reports a 96.85% average SR(success rate) on libero bench. But my eval of pi05_libero_base on lerobot-libero bench returns zero SR",image processing and normalization to our pipeline is not very straight forward,image processing and normalization to our pipeline,2025-11-27T08:12:38Z,2026-05-29T00:16:25Z,,5
github_issue::huggingface/lerobot::3252,LeRobot,huggingface/lerobot,issue,3252,open,Cannot reproduce the performance of PI0 on LIBERO benchmark,https://github.com/huggingface/lerobot/issues/3252,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,checkpoint_or_config_loading,success_rate_drop_or_mismatch,checkpoint_config_compatibility,checkpoint_or_config_loading,"The performance of PI0 is really bad (~0%), but the performance of PI0.5 is good (similar to the official reported value).",But it seems like the finetuned pi0 version is for 0.4 so its not compatible with 0.5 for some reason.,the finetuned pi0 version is for 0.4 so its not compatible with 0.5,2026-03-31T21:35:08Z,2026-05-29T00:16:10Z,,3
github_issue::huggingface/lerobot::3264,LeRobot,huggingface/lerobot,issue,3264,open,smolvla can not reproduce results in libero eval using official checkpoints,https://github.com/huggingface/lerobot/issues/3264,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,and the results are far from that in paper.,,,2026-04-02T08:39:20Z,2026-05-29T00:11:44Z,,4
github_issue::huggingface/lerobot::2853,LeRobot,huggingface/lerobot,issue,2853,open,Question about loss validation and VLA evaluation in LeRobot,https://github.com/huggingface/lerobot/issues/2853,deviation_and_factor,rollout_behavior_anomaly,training_evaluation_interaction,training_eval_boundary,rollout_behavior_anomaly;success_rate_drop_or_mismatch,training_evaluation_interaction,rollout_execution;training_eval_boundary,the robot does not move at all during inference. The actions seem to be zero or almost zero.,"I suspect that the normalization statistics in info.json (calculated over the 301 episodes) do not match the actual distribution of the 256 training episodes, causing corruption of the actions",,2026-01-24T18:15:44Z,2026-05-29T00:11:15Z,,16
github_issue::huggingface/lerobot::3674,LeRobot,huggingface/lerobot,issue,3674,open,[xvla-libero] Hub processor JSONs are missing two pipeline steps; rollouts silently fail,https://github.com/huggingface/lerobot/issues/3674,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,checkpoint_config_compatibility,rollout_execution;observation_processing,every rollout fails (0% success),returns processor pipelines that are missing two LIBERO-specific steps the policy was trained with.,every rollout fails,2026-05-26T01:42:32Z,2026-05-26T01:42:45Z,,0
github_issue::huggingface/lerobot::3591,LeRobot,huggingface/lerobot,issue,3591,open,Finetuned Pi0 seems not to use visual information,https://github.com/huggingface/lerobot/issues/3591,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,observation_processing,success_rate_drop_or_mismatch,unknown_or_not_specified,observation_processing,"after blacking out these two cameras, I can still get a success rate around 60% (without any disturbance success rate = 74.6%)",,"I'm pretty sure that I set correctly all the images black, because I print the observation before action = policy.select_action(observation).",2026-05-12T14:30:43Z,2026-05-15T08:50:28Z,,2
github_issue::huggingface/lerobot::3401,LeRobot,huggingface/lerobot,issue,3401,closed,Loss and 0% Success Rate on Libero-10 with lerobot/xvla-libero Checkpoint,https://github.com/huggingface/lerobot/issues/3401,deviation_and_factor,success_rate_drop_or_mismatch,action_controller_interface,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,action_controller_interface,rollout_execution,"when evaluating the model on the Libero-10 benchmark, I get a 0% success rate.",I need to set `--env.control_mode=absolute` because X-VLA is trained with absolute poses.,it seems there are only some meaningless actions.,2026-04-17T21:12:21Z,2026-05-07T03:57:24Z,2026-05-07T03:57:24Z,4
github_issue::huggingface/lerobot::1316,LeRobot,huggingface/lerobot,issue,1316,closed,[Question] SmolVLA LIBERO / MetaWorld evaluation,https://github.com/huggingface/lerobot/issues/1316,deviation_and_factor,success_rate_drop_or_mismatch,action_controller_interface,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,action_controller_interface;evaluation_protocol_metric,rollout_execution;benchmark_or_eval_setup,the observed success rate is extremely low.,the gripper action seems reverse between dataset and simulator.,,2025-06-16T06:28:50Z,2026-04-21T14:04:45Z,2025-10-17T11:04:48Z,55
